trial,detection_rate,false_positive_rate,capex_M,reactive_annual_tco_M,nadissp_annual_tco_M,reactive_5yr_tco_M,nadissp_5yr_tco_M,delta_tco_M,npv_M,payback_year,irr,ac_cmaps_turbofan,ac_ai4i_manufacturing,ac_3w_offshore_well,ac_espset_pump
374,0.7845,0.1236,279.144,354.48,162.17,1772.4,810.84,830.642,551.498,2.0,0.5223,112.79,462.124,118.267,481.551
375,0.8627,0.2122,306.7,462.41,337.05,2312.06,1685.27,575.338,268.638,3.0,0.2544,205.822,296.674,326.759,317.792
376,0.8085,0.1251,301.147,615.28,192.12,3076.39,960.6,1882.991,1581.844,1.0,1.2278,508.91,257.201,723.077,648.764
377,0.8813,0.2767,411.985,151.53,52.91,757.64,264.57,432.939,20.954,5.0,0.0168,202.306,255.35,0.0,25.192
378,0.862,0.0472,276.984,538.6,293.26,2693.02,1466.32,1070.877,793.892,2.0,0.7222,280.941,342.28,540.458,349.306
379,0.7189,0.0518,362.249,599.41,145.14,2997.06,725.69,2022.386,1660.137,1.0,1.0885,1095.337,473.864,361.513,203.635
380,0.8206,0.1816,296.64,660.52,108.75,3302.58,543.77,2407.074,2110.434,1.0,1.6095,455.345,445.706,685.102,796.443
381,0.7885,0.1916,425.257,321.67,219.8,1608.33,1099.02,444.262,19.005,5.0,0.0148,282.208,219.22,195.772,144.381
382,0.8277,0.1073,290.919,309.78,115.55,1548.92,577.76,790.445,499.526,2.0,0.4621,156.833,388.451,148.998,253.217
383,0.8363,0.0775,331.608,262.85,115.68,1314.26,578.4,621.664,290.056,3.0,0.254,219.574,103.492,356.37,98.312
384,0.7449,0.1915,372.179,428.45,45.36,2142.23,226.81,1614.879,1242.7,2.0,0.8249,488.871,127.98,502.417,383.588
385,0.8993,0.0365,315.492,521.1,387.85,2605.52,1939.24,538.997,223.505,3.0,0.2099,450.498,229.804,481.098,89.436
386,0.8328,0.1327,390.371,283.65,88.29,1418.27,441.43,859.646,469.275,3.0,0.3375,83.033,161.218,335.285,397.176
387,0.8869,0.0722,325.982,487.39,185.51,2436.94,927.54,1338.695,1012.713,2.0,0.7747,486.816,267.5,352.537,509.189
388,0.6049,0.3145,367.499,730.14,267.69,3650.69,1338.43,2021.911,1654.413,1.0,1.0715,776.076,552.943,247.321,785.761
389,0.813,0.1814,424.761,308.58,191.36,1542.91,956.82,507.858,83.096,5.0,0.0627,279.014,250.541,71.581,174.992
390,0.7335,0.1561,321.148,632.97,214.32,3164.87,1071.6,1799.947,1478.799,1.0,1.093,327.142,303.117,682.934,706.171
391,0.8509,0.0432,388.691,855.83,200.86,4279.16,1004.29,2894.723,2506.032,1.0,1.4734,556.126,898.075,584.09,1047.224
392,0.6822,0.1295,453.019,372.64,152.95,1863.19,764.76,952.097,499.078,3.0,0.3124,139.091,531.942,170.66,457.052
393,0.8621,0.1372,464.333,516.33,229.1,2581.65,1145.48,1249.145,784.812,2.0,0.4557,104.972,393.904,633.539,494.968
394,0.8459,0.2055,301.15,510.68,152.6,2553.39,763.01,1513.341,1212.191,1.0,0.9713,333.83,185.793,733.776,418.024
395,0.6589,0.1987,285.666,773.65,148.91,3868.24,744.55,2728.603,2442.936,1.0,1.901,483.776,657.218,680.624,1003.327
396,0.6284,0.1029,294.573,636.12,224.13,3180.6,1120.67,1830.607,1536.034,1.0,1.2198,314.997,300.995,316.389,1132.642
